date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2019-04-09,-18-21-29-38-41-,-1-11-,38,41,18,29,21,1,11
2019-04-12,-1-28-35-36-46-,-6-9-,46,28,1,35,36,6,9
2019-04-16,-1-8-15-44-49-,-2-11-,1,49,15,8,44,2,11
2019-04-19,-7-8-32-41-49-,-5-11-,32,49,8,7,41,11,5
2019-04-23,-18-23-27-42-44-,-2-7-,23,44,18,27,42,7,2
2019-04-26,-14-33-35-47-50-,-9-11-,33,35,50,47,14,11,9
2019-04-30,-5-12-20-26-48-,-2-11-,20,26,12,48,5,2,11
2019-05-03,-2-9-20-27-43-,-5-6-,2,20,27,43,9,5,6
2019-05-07,-7-20-26-32-47-,-2-11-,32,20,47,7,26,2,11
2019-05-10,-1-4-27-45-48-,-1-7-,1,45,27,4,48,7,1
2019-05-14,-10-14-17-25-50-,-2-10-,14,25,50,10,17,2,10
2019-05-17,-16-28-42-43-45-,-6-7-,42,16,28,43,45,6,7
2019-05-21,-32-33-34-39-47-,-8-12-,47,32,34,33,39,12,8
2019-05-24,-5-16-23-30-49-,-6-7-,5,30,49,23,16,7,6
2019-05-28,-7-19-20-28-29-,-1-5-,28,7,29,19,20,1,5
2019-05-31,-1-23-24-26-35-,-1-11-,1,26,23,35,24,11,1
2019-06-04,-9-31-32-39-41-,-2-8-,31,32,9,39,41,8,2
2019-06-07,-1-4-16-20-34-,-2-5-,34,16,4,1,20,2,5
2019-06-11,-25-27-39-42-46-,-11-12-,27,46,42,25,39,11,12
2019-06-14,-1-13-30-31-39-,-2-7-,30,1,39,13,31,2,7
2019-06-18,-12-24-37-40-44-,-3-7-,44,40,12,37,24,3,7
2019-06-21,-5-8-9-25-39-,-3-7-,9,8,39,25,5,3,7
2019-06-25,-6-26-27-34-46-,-1-9-,27,34,6,26,46,1,9
2019-06-28,-1-3-16-33-49-,-2-11-,1,33,3,49,16,2,11
2019-07-02,-11-19-29-44-45-,-8-12-,19,44,11,29,45,12,8
2019-07-05,-2-9-20-34-42-,-6-9-,20,2,42,34,9,9,6
2019-07-09,-7-29-32-36-41-,-6-7-,32,7,41,36,29,7,6
2019-07-12,-2-31-39-45-47-,-4-8-,2,31,39,45,47,8,4
2019-07-16,-3-5-13-18-39-,-7-8-,5,13,18,39,3,8,7
2019-07-19,-13-14-17-26-28-,-2-7-,26,17,13,14,28,7,2
2019-07-23,-1-14-19-23-38-,-3-7-,38,19,23,1,14,7,3
2019-07-26,-2-5-27-37-42-,-3-10-,27,2,42,5,37,10,3
2019-07-30,-15-20-23-27-40-,-3-6-,15,27,23,40,20,3,6
2019-08-02,-13-22-33-44-50-,-2-5-,33,44,13,22,50,5,2
2019-08-06,-12-13-29-36-38-,-4-12-,38,12,29,36,13,4,12
2019-08-09,-2-14-35-41-42-,-10-11-,35,41,14,2,42,11,10
2019-08-13,-13-29-31-33-40-,-2-3-,31,13,33,29,40,2,3
2019-08-16,-9-10-27-37-42-,-1-5-,9,42,10,27,37,1,5
2019-08-20,-20-22-23-24-37-,-1-4-,23,24,22,20,37,1,4
2019-08-23,-4-17-35-42-45-,-2-8-,4,17,42,45,35,8,2
2019-08-27,-8-26-35-43-47-,-1-9-,26,8,35,47,43,9,1
2019-08-30,-25-27-45-46-49-,-4-6-,45,49,27,46,25,6,4
2019-09-03,-7-11-38-39-44-,-7-10-,44,11,38,7,39,10,7
2019-09-06,-10-13-22-40-48-,-2-5-,13,22,40,10,48,5,2
